"Health Zone Lab (Address : 54 ? Naseerabad Stop Near HBL Ferozpur Road, Lahore Pakistan) Whatsapp :   0317-1170410",,,,
1431,GTT (Glucose Tolerance Test) e 100 Gram Glucose,900,Sodium Fluoride Containing Sample,Same Day After 6 Hour
4629,H pylori Ig A ELISA,1600,3- 5cc Clotted Blood or Serum,DAILY
4628,H pylori Ig G ELISA,1600,3- 5cc Clotted Blood or Serum,DAILY
8084,Hair For Fungus C/S,1600,HAIR,AFTER THREE WEEKS
4148,Haptoglobin,1100,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4802,HbA1C,1600,3cc EDTA BLOOD (CBC VIAL),NEXT DAY
4206,HBe Ag (ELISA),1600,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
4201,HBs Ag (ELISA),1200,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
4510,HBs Ag Screening,400,3- 5cc Clotted Blood or Serum,SAME DAY
4609,HBV DNA BY REAL-TIME PCR (QUALITATIVE),5000,EDTA vials blood / Plasma,AFTER THREE DAYS
4617,HBV DNA BY REAL-TIME PCR (QUANTITATIVE),6000,EDTA vials blood / Plasma,AFTER THREE DAYS
4621,HCV Genotyping by PCR,6500,EDTA vials blood / Plasma,AFTER 7 DAYS
4607,HCV RNA BY REAL-TIME PCR (QUALITATIVE),5000,EDTA vials blood / Plasma,AFTER THREE DAYS
4610,HCV RNA BY REAL-TIME PCR (QUANTITATIVE),6000,EDTA vials blood / Plasma,AFTER THREE DAYS
1904,HDL (Cholesterol),400,(Fasting) 3- 5cc Clotted Blood or Serum,SAME DAY
1203,Helicobacter pylori Antigen (Stool),2500,STOOL,Same Day After 8 Hour
1301,Hemoglobin (HB),300,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
5011,Hemoglobin Electrophoresis,2200,3cc EDTA BLOOD (CBC VIAL),AFTER 6 DAYS
12058,Herpes (HSV 1&2) PCR Qualitative,7150,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4707,Herpes (HSV) Ig G,1500,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4708,Herpes (HSV) Ig M,1500,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1146,HIV RNA by PCR (Quantitative),10450,3- 5cc Clotted Blood or Serum,AFTER ONE WEEK
4132,Homocystine Level,1750,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1818,Human Ig G-4,8500,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
8017,HVS For AFB Stain / ZN Stain,400,HVS SWAB,SAME DAY
1228,HVS For C/S,1600,HVS SWAB,AFTER THREE DAYS
8040,HVS For Gram Stain,400,HVS SWAB,SAME DAY
8022,Hydrocele Fluid For AFB Stain / ZN Stain,400,Hydrocele Fluid,SAME DAY
8072,Hydrocele Fluid For AFB C/S,1600,Hydrocele Fluid,AFTER 8 WEEKS
8073,Hydrocele Fluid For C/S,1600,Hydrocele Fluid,AFTER THREE DAYS
8098,Hydrocele Fluid For Cytology,1400,Fluid,AFTER FIVE DAYS
8046,Hydrocele Fluid For Gram Stain,400,Hydrocele Fluid,SAME DAY
4602,Ig A (Immunoglobulin A),1200,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
4605,Ig E (Immunoglobulin E),1400,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
4603,Ig G (Immunoglobulin G),1200,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
4604,Ig M (Immunoglobulin M),1200,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
3251,IL- 6 (Serum),2000,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
8533,Immature Platelet Fraction (IPF),1500,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
2322,"Immunoglobulins (IgA,IgG,IgM)",3600,Urine (Random/Spot),AFTER 6 DAYS
1706,Inorganic Phosphorus (PO4),500,3- 5cc Clotted Blood or Serum,SAME DAY
4116,Insulin (Fasting),2200,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
5564,Insulin Growth Factor-1(Igf-1),6800,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
5553,Ionized Calcium,500,3- 5cc Clotted Blood or Serum,SAME DAY
2702,Iron,600,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
8041,Joint Fluid For Gram Stain,600,Joint Fluid,SAME DAY
126,Joint Fluid C/E,1200,Joint Fluid,Same Day After 12 Hour
8060,Joint Fluid For AFB C/S,1600,Fluid,AFTER 8 WEEKS
8018,Joint Fluid For AFB Stain / ZN Stain,400,Joint Fluid,SAME DAY
2242,Joint Fluid For C/S,1600,Fluid,AFTER THREE DAYS
3517,Ketones (Urine),400,Urine (Random/Spot),SAME DAY
8067,Knee Joint Fluid For AFB C/S,1600,Knee Joint Fluid,AFTER 8 WEEKS
8068,Knee Joint Fluid For C/S,1600,Knee Joint Fluid,AFTER THREE DAYS
8013,Knee Joint Fluid For AFB Stain / ZN Stain,400,Knee Joint Fluid,SAME DAY
8042,Knee Joint Fluid For Gram Stain,400,Knee Joint Fluid,SAME DAY
5023,Lactate Level,1400,Sodium Fluoride Containing Sample,DAILY
2323,LDH (CSF),500,CSF,AFTER TWO DAYS
2324,LDH (Fluid),500,Fluid,AFTER TWO DAYS
1803,LDH (Serum),500,3- 5cc Clotted Blood or Serum,SAME DAY
4104,LH,1400,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
2710,Lipase (Fluid),1000,Fluid,SAME DAY
2716,Lipase (Serum),1000,3- 5cc Clotted Blood or Serum,SAME DAY
1900,Lipid Profile,1800,3- 5cc Clotted Blood or Serum,DAILY
15454,Lipoprotein A,1450,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1708,Lithium,1200,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
66112,LIVER FUNCTION TESTS (LFT),1600,3- 5cc Clotted Blood or Serum,Same Day After 6 Hour
2327,Lupus Anticoagulant Abs,5400,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1707,Magnesium,500,3- 5cc Clotted Blood or Serum,SAME DAY
3233,Magnesium (24 Hours),500,24 Hrs Urine,AFTER TWO DAYS
1529,Magnesium (Fluid),500,Fluid,AFTER ONE DAY
1315,Malarial Parasite (M.P) by Smear,500,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
1335,Malarial Parasite (M.P) ICT,600,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
12365,Malignant Cytology,1400,Fluid,AFTER THREE DAYS
2330,Measles IgG,2000,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
2329,Measles IgM,2000,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4804,Microalbuminuria (24 Hrs Urine),1000,24 Hrs Urine,SAME DAY
4813,Microalbuminuria Urine (Spot / Random),1000,Urine (Random/Spot),SAME DAY
2256,Milk Analysis One Side,1200,MILK,Same Day After 12 Hour
2240,Milk For Cytology,1400,MILK,AFTER FIVE DAYS
8043,Milk For Gram Stain,400,MILK,SAME DAY
8141,Milk(Leftt) For C/S,1600,MILK,AFTER THREE DAYS
8140,Milk(Right) For C/S,1600,MILK,AFTER THREE DAYS
3408,Mono Spot Test,1000,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4616,Morphine Derivatives (Urine),2700,Urine (Random/Spot),NEXT DAY
4608,MTB PCR Qualitative,5000,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
5044,Mumps IgG,2200,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
2334,Mumps IgM,2200,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
9001,"Mycodot (IgG,IgM) ICT Profile",600,3- 5cc Clotted Blood or Serum,SAME DAY
3301,Mycodot Ig G ELISA,1400,3- 5cc Clotted Blood or Serum,DAILY
3300,Mycodot Ig M ELISA,1400,3- 5cc Clotted Blood or Serum,DAILY
5003,Mycoplasma Ig G ELISA,2400,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
5004,Mycoplasma Ig M ELISA,2400,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
8083,Nail For Fungal Examination,900,NAIL,AFTER TWO WEEKS
4172,Nasal Screation C/S,1600,Fluid,AFTER THREE DAYS
2356,Nasal Secretion C/S,1600,NASAL SECRATION,AFTER THREE DAYS
8031,Nasal Secretion For AFB Stain / ZN Stain,400,NASAL SECRATION,SAME DAY
8061,Nasal Secretion For AFB C/S,1600,NASAL SECRATION,AFTER 8 WEEKS
8056,Nasal Secretion For Gram Stain,400,NASAL SECRATION,SAME DAY
4222,Non-HDL (LDL) Cholesterol,400,3- 5cc Clotted Blood or Serum,DAILY
2337,Opiates (Urine),1400,spot Urine,AFTER THREE DAYS
40004,Oral Swab C/S,1600,SWAB,AFTER THREE DAYS
3602,Osmolality (Serum),1100,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1104,Osmolality Urine (Spot / Random),1100,spot Urine,AFTER TWO DAYS
1147,Oxalate (24 Urine),3300,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
782456,Pancreatic Elastase-1 (Stool),5700,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
3503,Pap Smear,2750,SLIDES,AFTER FOUR DAYS
4125,Parathyroid hormone (intact PTH),2200,3- 5cc Clotted Blood or Serum,NEXT DAY
1919,PAS Stain,800,Tissue,AFTER 6 DAYS
8028,Pericardial Fluid For AFB Stain / ZN Stain,600,Pericardial Fluid,SAME DAY
8105,Pericardial Fluid For C/E,1200,Pericardial Fluid,Same Day After 12 Hour
8076,Pericardial Fluid For C/S,1600,Pericardial Fluid,AFTER THREE DAYS
8075,Pericardial Fluid For AFB C/S,1500,Pericardial Fluid,AFTER 8 WEEKS
8097,Pericardial Fluid For Cytology,1400,Fluid,AFTER FIVE DAYS
8052,Pericardial Fluid For Gram Stain,400,Pericardial Fluid,SAME DAY
1307,Peripheral Blood Film,400,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
129,Peritoneal Fluid C/E,1200,Peritoneal Fluid,Same Day After 12 Hour
8020,Peritoneal Fluid For AFB Stain / ZN Stain,400,Peritoneal Fluid,SAME DAY
135,Peritoneal Fluid For C/S,1600,Peritoneal Fluid,AFTER THREE DAYS
8062,Peritoneal Fluid For AFB C/S,1600,Peritoneal Fluid,AFTER 8 WEEKS
2235,Peritoneal Fluid For Cytology,1400,Fluid,AFTER FIVE DAYS
8044,Peritoneal Fluid For Gram Stain,400,Peritoneal Fluid,SAME DAY
10105,Peritoneal Fluid Hematoma For C/S,1600,Fluid,AFTER THREE DAYS
3216,pH Urine,300,Urine (Random/Spot),SAME DAY
2340,Phenytoin (Dilantin),1450,3- 5cc Clotted Blood or Serum,AFTER ONE WEEK
2635,Phosphate (24 Hour Urine),500,24 Hrs Urine,DAILY
11228,Plasma Alcohol (Ethanol),1950,3- 5cc EDTA Blood,AFTER ONE WEEK
2511,Plasma Renin (Direct),3850,3- 5cc EDTA Blood,AFTER THREE DAYS
3254,Platelet Count,250,3- 5cc EDTA Blood,Same Day After 8 Hour
101020,Pleural Fluid C/E,1200,Fluid,Same Day After 12 Hour
8023,Pleural Fluid For AFB Stain / ZN Stain,400,Pleural Fluid,SAME DAY
8063,Pleural Fluid For AFB C/S,1600,Pleural Fluid,AFTER 8 WEEKS
133,Pleural Fluid For C/S,1600,Pleural Fluid,AFTER THREE DAYS
2209,Pleural Fluid For C/S,1600,Fluid,AFTER THREE DAYS
2214,Pleural Fluid For Cytology,1400,Fluid,AFTER THREE DAYS
8047,Pleural Fluid For Gram Stain,400,Pleural Fluid,SAME DAY
12123,Pleural fluid for malignant cell,1500,Pleural Fluid,ON CALL
1702,Potassium,500,3- 5cc Clotted Blood or Serum,SAME DAY
1532,Potassium (Fluid),500,Fluid,DAILY
1120,Potassium Urine,500,Urine (Random/Spot),NEXT DAY
3403,Pregnancy Test (ICT),300,Urine (Random/Spot),Same Day After 8 Hour
31,Pro BNP,3000,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
4136,Procalcitonin (PCT),6300,3- 5cc Clotted Blood or Serum,AFTER FOUR DAYS
4108,Progesterone,1600,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
4107,Prolactin,1400,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
1113,Protein (24 Hrs Urine),500,24 Hrs Urine,AFTER TWO DAYS
1610,Protein / Creatinine Ratio Urine,1000,Serum and 24Hrs Urine,DAILY
5010,Protein Electrophoresis,1450,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1348,Protein-C,4600,Sodium Citrate Tube (PT Vial),AFTER THREE DAYS
1305,Prothrombin Time (PT With INR),600,Sodium Citrate Tube (PT Vial),Same Day After 8 Hour
4307,PSA (Prostate Specific Antigen),2200,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
8024,Pus For AFB Stain / ZN Stain,400,PUS,SAME DAY
8065,Pus For AFB C/S,1600,PUS,AFTER 8 WEEKS
4620,Pus For C/S,1600,PUS,AFTER THREE DAYS
1221,Pus For Cytology,1400,PUS,AFTER FIVE DAYS
8250,Pus For Fungus C/S,1600,PUS,AFTER THREE WEEKS
8048,Pus For Gram Stain,400,PUS,SAME DAY
8027,Pus Swab For AFB Stain / ZN Stain,400,PUS SWAB,SAME DAY
8074,Pus Swab For C/S,1600,PUS SWAB,AFTER THREE DAYS
8051,Pus Swab For Gram Stain,400,PUS SWAB,SAME DAY
1021,Quantiferon TB (IGRA) Gold,9000,3- 5cc Lithium,AFTER ONE WEEK
786,RA Factor Quantitative,1200,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
2338,Reducing Substance (Stool),500,STOOL,Same Day After 8 Hour
1115,Reducing Substances (Urine),500,Urine (Random/Spot),DAILY
1079,RENAL FUNCTION TEST (RFT),1000,3- 5cc Clotted Blood or Serum,Same Day After 6 Hour
1618,Renal Function Test (RFTs) with GFR,1200,3- 5cc Clotted Blood or Serum,Same Day After 6 Hour
125078,Reticulocytes,400,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
1347,Rh Antibodies,600,3-5cc edta blood and serum,SAME DAY
10278,Rh. Anti body Titration,600,3- 5cc Clotted Blood or Serum+ EDTA,DAILY
4701,Rubella Ig G ELISA,1400,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
4702,Rubella Ig M ELISA,1400,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
1515,SAAG (serum ascites albumin gradient),850,Ascitic Fluid +4 CC Clotted blood,Same Day After 8 Hour
8030,Semen For AFB Stain / ZN Stain,400,SEMEN,SAME DAY
1207,Semen Analysis C/E,1000,SEMEN,Same Day After 8 Hour
1208,Semen For C/S,1600,SEMEN,AFTER THREE DAYS
8054,Semen For Gram Stain,400,SEMEN,SAME DAY
11229,Serum Androstendione Level,2550,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1700,Serum Electrolytes,1200,3- 5cc Clotted Blood or Serum,Same Day After 6 Hour
3961,Serum Free Light Chain (Kappa & Lambda),6000,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
52526,Sex Hormone Binding Globulin (SHBG),1800,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1504,SGOT (AST),400,3- 5cc Clotted Blood or Serum,SAME DAY
1503,SGPT (ALT),400,3- 5cc Clotted Blood or Serum,SAME DAY
789451,Slide For Review Histopathology,2500,SLIDES,AFTER 7 DAYS
1701,Sodium,400,3- 5cc Clotted Blood or Serum,SAME DAY
1526,Sodium (Fluid),400,Fluid,DAILY
3507,Sodium Urine (Spot / Random),400,Urine (Random/Spot),AFTER ONE DAY
8527,Spot Protein / Creatinine Ratio Urine,1000,spot Urine,DAILY
2347,Spot Urea Clearance,500,Urine,SAME DAY
12093,Spot Urinary Phosphate,500,Urine (Random/Spot),DAILY
1213,Sputum For AFB C/S,1600,SPUTUM,AFTER 8 WEEKS
1240,Sputum For AFB Smear / ZN Stain,400,SPUTUM,AFTER ONE DAY
1210,Sputum For C/S,1600,SPUTUM,AFTER THREE DAYS
39,Sputum for C/S (Anaerobic),1600,SPUTUM,AFTER FOUR DAYS
1209,Sputum For Cytology,1400,SPUTUM,AFTER FIVE DAYS
8152,Sputum For Fungus examination,1500,SPUTUM,AFTER TWO DAYS
8034,Sputum For Gram Stain,400,SPUTUM,SAME DAY
2001,Stone Analysis,2500,STONE,SAME DAY
1200,Stool For C/E,600,STOOL,SAME DAY
8091,Stool For C/S,1600,STOOL,AFTER THREE DAYS
12554,Stool for Clostridium Difficile Ag,3000,STOOL,NEXT DAY
1204,Stool For Occult Blood,600,STOOL,SAME DAY
4127,Serum Anti Smooth Muscle Abs (ASMA) IFA,4500,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
3518,Serum/ Plasma Sugar Fasting,300,3- 5cc Clotted Blood or Serum,SAME DAY
3520,Serum/Plasma Sugar Random,300,3- 5cc Clotted Blood or Serum,SAME DAY
5100,Swab For C/S,1600,SWAB,AFTER THREE DAYS
127,Synovial Fluid C/E,1200,Synovial Fluid,Same Day After 12 Hour
8029,Synovial Fluid For AFB Stain / ZN Stain,400,Synovial Fluid,SAME DAY
8078,Synovial Fluid For C/S,1600,Synovial Fluid,AFTER THREE DAYS
8077,Synovial Fluid For AFB C/S,1600,Synovial Fluid,AFTER 8 WEEKS
8101,Synovial Fluid For Cytology,1400,Synovial Fluid,AFTER FIVE DAYS
8053,Synovial Fluid For Gram Stain,400,Synovial Fluid,SAME DAY
34,Syphilis (VDRL) Screening,500,3- 5cc Clotted Blood or Serum,DAILY
4101,T3,800,3- 5cc Clotted Blood or Serum,SAME DAY
4102,T4,800,3- 5cc Clotted Blood or Serum,SAME DAY
3339,Tacrolimus,6050,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
8025,Throat Swab For AFB Stain / ZN Stain,400,THROAT SWAB,SAME DAY
1216,Throat Swab For C/S,1600,SWAB,AFTER THREE DAYS
8049,Throat Swab For Gram Stain,400,THROAT SWAB,SAME DAY
4949,Thyroid Cyst Fluid For C/E,1200,Fluid,Same Day After 12 Hour
4428,"Thyroid Function Test (FT3,FT4,TSH) Extended",3600,3- 5cc Clotted Blood or Serum,DAILY
22330,"Thyroid Function Test (T3,T4,TSH)",2400,3- 5cc Clotted Blood or Serum,DAILY
41001,Thyroid Peroxidase Antibodies (Anti-TPO),1000,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
2703,TIBC,700,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
8107,Tip For C/S,1600,TIP,AFTER THREE DAYS
8212,Tip for C/S (Anaerobic),2000,TIP,AFTER THREE DAYS
8120,Tissue For AFB Stain / ZN Stain,400,Tissue,AFTER FOUR DAYS
8108,Tissue For C/S,1600,Tissue,AFTER THREE DAYS
8169,Tissue For C/S,1600,Tissue,AFTER THREE DAYS
4700,Torch Profile,6800,3- 5cc Clotted Blood or Serum,AFTER 7 DAYS
1705,Total Calcium,300,3- 5cc Clotted Blood or Serum,SAME DAY
6053,Total Protein,400,3- 5cc Clotted Blood or Serum,DAILY
1310,Total RBCs,400,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
4124,Total Testosterone,1400,3- 5cc Clotted Blood or Serum,DAILY
4703,Toxoplasma Ig G ELISA,1400,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4704,Toxoplasma Ig M ELISA,1400,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4184,TPHA(syphilis),1500,24 Hrs Urine,AFTER FOUR DAYS
4328,Tracheal Secretion for C/S (Aerobic),2000,Tracheal Secretion,AFTER THREE DAYS
4329,Tracheal Secretion for C/S (Anaerobic),1600,Tracheal Secretion,AFTER THREE DAYS
8019,Tracheal Tube Secretion for AFB Stain / ZN Stain,400,Fluid,SAME DAY
2227,Tracheal Tube Secretion for Gram Stain,400,Fluid,SAME DAY
2717,Transferrin Saturation,1300,3- 5cc Clotted Blood or Serum,NEXT DAY
1903,Triglycerides,400,3- 5cc Clotted Blood or Serum,SAME DAY
231,Troponin T (Quantitative),1800,3- 5cc Clotted Blood or Serum,Same Day After 8 Hour
230,Troponin-I (Quantitative-hs),2000,3- 5cc Clotted Blood or Serum,Same Day After 8 Hour
4103,TSH,800,3- 5cc Clotted Blood or Serum,SAME DAY
8113,T-Spot TB Test,8250,3- 5cc Heparinized Blood,AFTER THREE DAYS
1601,Urea,40,3- 5cc Clotted Blood or Serum,SAME DAY
3510,Urea (24 Hrs Urine),500,24 Hrs Urine,SAME DAY
1614,Urea Urine (Spot / Random),500,Urine (Random/Spot),SAME DAY
8121,Uretheral Swab For C/S,1600,SWAB,AFTER THREE DAYS
7777,Urethral Smear for Gram Stain,400,SLIDES,AFTER ONE DAY
2704,Uric Acid,400,3- 5cc Clotted Blood or Serum,SAME DAY
8095,Urine For Cytology,1400,Urine (Random/Spot),AFTER FIVE DAYS
1100,Urine C/E,400,Urine (Random/Spot),Same Day After 8 Hour
8181,Urine For AFB Stain / ZN Stain,400,Urine,SAME DAY
8130,Urine For AFB C/S,1600,24 Hrs Urine,AFTER 8 WEEKS
5064,Urine For Amino Acid,2500,Urine (Random/Spot),AFTER THREE DAYS
51,Urine for Barbiturates (BAR),1500,Urine,AFTER TWO DAYS
5062,Urine For Bile Pigment,400,Urine (Random/Spot),NEXT DAY
1101,Urine For C/S,1200,Urine (Random/Spot),AFTER THREE DAYS
1232,Urine for Gram Stain,400,Urine (Random/Spot),SAME DAY
1136,Urine for Hemoglobin (Spot/Random),250,Urine (Random/Spot),DAILY
1239,Urine for pH,300,Urine (Random/Spot),SAME DAY
7,Urine For Reducing Substance,500,Urine (Random/Spot),Same Day After 8 Hour
6071,Urine Protein,100,Urine,DAILY
3509,Urine Sugar,100,Urine (Random/Spot),SAME DAY
29,Valproic Acid (Epival),1450,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
3850,Vancomycin,1400,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
5034,Varicella Zoster Virus Ig G ELISA,3400,3- 5cc Clotted Blood or Serum,AFTER ONE WEEK
3336,Varicella Zoster Virus Ig M ELISA,3950,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4111,Vitamin B12,2000,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
8055,Vitreous Fluid (Eye) For Gram Stain,400,Vitreous Fluid,SAME DAY
8033,Vitreous For AFB Stain / ZN Stain,400,Vitreous Fluid,SAME DAY
8079,Vitrous Fluid For C/S,1600,Vitreous Fluid,AFTER THREE DAYS
8080,Vitrous Fluid For AFB C/S,1600,Vitreous Fluid,AFTER 8 WEEKS
1108,VMA (24 Hrs Urine),2400,24 Hrs Urine,AFTER FIVE DAYS
5656,Water C/S,1600,WATER,AFTER THREE DAYS
1302,WBC (TLC),300,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
1813,WBC Morphology,400,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
8026,Wound Aspirate For AFB Stain / ZN Stain,400,Wound Swab,SAME DAY
9011,Wound Swab for AFB /ZN Stain,400,SWAB,SAME DAY
131,Wound Swab For C/S,1600,Wound Swab,AFTER THREE DAYS
8050,Wound Swab For Gram Stain,400,Wound Swab,SAME DAY
2573,Zinc Level,2850,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
